title,Series Title,Runtime,Genre,Rating,Cast,Synopsis
The X Files,(1993–2018),45 min,"Crime, Drama, Mystery",8.6,"David Duchovny, Gillian Anderson, Mitch Pileggi, William B. Davis","Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts."
How I Met Your Mother,(2005–2014),22 min,"Comedy, Romance",8.3,"Josh Radnor, Jason Segel, Cobie Smulders, Neil Patrick Harris",A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.
Titans,(I) (2018– ),45 min,"Action, Adventure, Crime",7.6,"Brenton Thwaites, Anna Diop, Ryan Potter, Teagan Croft",A team of young superheroes combat evil and other perils.
Call the Midwife,(2012– ),60 min,"Drama, History",8.6,"Vanessa Redgrave, Laura Main, Jenny Agutter, Stephen McGann",Chronicles the lives of a group of midwives living in East London in the late 1950s to late 1960s.
That '70s Show,(1998–2006),22 min,"Comedy, Drama, Romance",8.1,"Topher Grace, Laura Prepon, Mila Kunis, Danny Masterson","A comedy revolving around a group of teenage friends, their mishaps, and their coming of age, set in 1970s Wisconsin."
Chicago Fire,(2012– ),43 min,"Action, Drama",8,"Taylor Kinney, Christian Stolte, Eamonn Walker, Joe Minoso","The story of firefighters and paramedics in the city of Chicago, both on a personal and professional level."
Fargo,(2014– ),53 min,"Crime, Drama, Thriller",8.9,"Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks","Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota."
Blue Bloods,(2010– ),43 min,"Crime, Drama, Mystery",7.7,"Donnie Wahlberg, Bridget Moynahan, Will Estes, Len Cariou",Revolves around a family of New York cops.
George & Tammy,(2022–2023),48 min,"Biography, Drama, History",7.5,"Jessica Chastain, Michael Shannon, Steve Zahn, David Wilson Barnes",A look at the romance between famed country musicians George Jones and Tammy Wynette.
Poker Face,(2023– ),****,Mystery,****,"Natasha Lyonne, Megan Suri, Colton Ryan, Brandon Micheal Hall",Charlie has an extraordinary ability to determine when someone is lying. She hits the road with her Plymouth Barracuda and with every stop encounters a new cast of characters and strange crimes she can't help but solve.
